year,month,t2m_mean_C,precip_total_mm
2004,11,11.176849,3.9657648
2004,12,9.655914,4.66004
2005,1,8.4826355,2.7210238
2005,2,6.6648254,4.735183
2005,3,10.246063,2.23732
2005,4,11.73941,5.1876044
2005,5,14.809235,2.7667942
2005,6,18.808533,0.98761916
2005,7,19.959839,2.1408093
2005,8,19.779877,1.905058
2005,9,18.120453,2.9274013
2005,10,17.342804,3.2081604
2005,11,11.408051,7.042702
2005,12,8.141144,4.205328
2006,1,7.898346,2.3849514
2006,2,7.3414,3.0300145
2006,3,11.877899,4.0206966
2006,4,12.107758,2.1610203
2006,5,15.142609,1.8364015
2006,6,18.365234,1.2729647
2006,7,21.734924,2.677912
2006,8,19.520355,2.8675046
2006,9,19.841278,3.0998228
2006,10,18.110626,3.001022
2006,11,14.529572,3.9577475
2006,12,9.707672,2.8297482
2007,1,9.723785,3.375244
2007,2,11.327423,4.9016886
2007,3,10.162811,7.3814354
2007,4,12.71817,4.0016174
2007,5,14.813232,4.019916
2007,6,17.480988,3.0055985
2007,7,18.741425,1.9912732
2007,8,18.832,4.475408
2007,9,17.15207,1.7444582
2007,10,15.11026,2.930453
2007,11,10.496918,1.8608106
2007,12,9.400604,1.8712964
2008,1,10.308563,2.1331844
2008,2,11.279327,1.7063154
2008,3,10.412323,6.2602983
2008,4,11.841156,3.2726347
2008,5,14.946442,6.867241
2008,6,17.230438,4.1969333
2008,7,18.805756,1.4049501
2008,8,19.331512,1.7932863
2008,9,17.327972,1.612471
2008,10,14.603058,5.4248834
2008,11,11.004059,7.048391
2008,12,8.910797,4.996502
2009,1,8.358307,5.22536
2009,2,8.459747,2.8877196
2009,3,9.9236145,3.789901
2009,4,11.070099,3.2009065
2009,5,14.370331,1.7227113
2009,6,18.194977,1.6521577
2009,7,19.515106,1.3832076
2009,8,20.108887,1.3580352
2009,9,18.243622,2.200323
2009,10,16.695099,2.4124172
2009,11,13.392853,7.6530685
2009,12,9.449371,3.341292
2010,1,7.9203186,5.974196
2010,2,8.443329,2.6256561
2010,3,10.225494,2.1034212
2010,4,12.731354,1.3568878
2010,5,13.703888,3.7456484
2010,6,16.947021,6.711211
2010,7,19.880157,0.7476837
2010,8,19.887054,1.2367249
2010,9,18.025116,1.9157441
2010,10,15.159637,3.7162807
2010,11,10.957489,7.345568
2010,12,8.405243,3.7456539
2011,1,8.851105,2.0572662
2011,2,9.776764,3.9434462
2011,3,10.928864,2.916336
2011,4,14.419403,1.9367191
2011,5,16.038055,2.025223
2011,6,17.228241,2.0580277
2011,7,18.063507,2.926634
2011,8,19.55423,1.5182495
2011,9,19.492798,0.9792331
2011,10,16.718475,1.658631
2011,11,14.251251,2.8350887
2011,12,10.760895,3.843319
2012,1,9.359283,2.8640714
2012,2,6.8528137,3.8028717
2012,3,10.677277,1.4949781
2012,4,10.373688,8.256148
2012,5,15.107697,2.3147583
2012,6,17.518799,2.2758486
2012,7,18.536713,1.1859895
2012,8,20.585175,0.69160455
2012,9,18.511322,2.2346513
2012,10,15.670929,3.9104447
2012,11,12.029144,4.6348453
2012,12,10.792084,3.0870404
2013,1,9.427277,8.187458
2013,2,8.382843,8.502964
2013,3,10.680511,4.0454865
2013,4,11.625214,4.697036
2013,5,12.066803,5.0292873
2013,6,15.5130005,4.6668983
2013,7,21.08371,1.3519288
2013,8,19.8367,1.6323098
2013,9,18.679413,1.7005906
2013,10,17.395966,1.518251
2013,11,11.624176,7.949062
2013,12,9.905548,2.9335048
2014,1,10.657684,6.113425
2014,2,9.921112,4.536055
2014,3,10.928986,5.2822046
2014,4,13.230713,2.8202088
2014,5,13.874664,2.248764
2014,6,17.91449,1.6643527
2014,7,19.300446,2.162172
2014,8,19.515594,2.2285433
2014,9,20.068695,1.6140049
2014,10,18.165436,2.2331207
2014,11,13.831268,4.5541787
2014,12,10.030853,5.614091
2015,1,8.672516,6.8695283
2015,2,7.6002502,10.123264
2015,3,10.040253,4.272841
2015,4,13.204468,2.494818
2015,5,15.008759,1.9638047
2015,6,18.011536,1.9088746
2015,7,20.452148,1.4221163
2015,8,20.09845,2.5260906
2015,9,17.124237,2.1507254
2015,10,15.863129,2.4467468
2015,11,13.847992,4.293054
2015,12,12.906769,0.75531006
2016,1,10.869171,4.445266
2016,2,9.684906,8.216475
2016,3,9.82547,6.524276
2016,4,11.627655,3.3237474
2016,5,14.885559,2.9125185
2016,6,17.624207,2.9338868
2016,7,19.778442,0.95939565
2016,8,20.559021,0.90217894
2016,9,19.16391,3.5697873
2016,10,15.628632,1.3229353
2016,11,11.56723,5.687706
2016,12,11.056976,0.84953314
2017,1,8.10672,3.8768823
2017,2,10.562714,3.2695796
2017,3,11.474945,3.5104778
2017,4,12.130951,1.7486562
2017,5,15.7378235,2.9521945
2017,6,18.539642,2.849576
2017,7,19.501495,1.7639103
2017,8,19.862091,2.1659791
2017,9,17.41507,3.9474423
2017,10,16.683624,0.6675713
2017,11,11.915253,4.821401
2017,12,9.472565,7.019397
2018,1,9.938568,5.400263
2018,2,7.178314,7.193759
2018,3,10.167633,5.6102724
2018,4,12.924896,3.6262453
2018,5,14.096405,2.8606477
2018,6,17.92691,3.6811771
2018,7,20.798706,3.6476197
2018,8,20.816376,1.4198315
2018,9,19.653046,1.5838623
2018,10,14.9711,3.6573436
2018,11,12.543793,4.3525662
2018,12,11.271576,1.2680067
2019,1,8.457733,7.208448
2019,2,10.457733,1.8306731
2019,3,11.00882,1.7536161
2019,4,11.96756,4.101947
2019,5,13.541046,2.9212887
2019,6,16.787628,1.9577087
2019,7,20.230316,2.4997597
2019,8,20.418854,2.32659
2019,9,18.673004,2.5627139
2019,10,16.449066,5.667493
2019,11,11.445953,11.511181
2019,12,10.869904,4.209515
2020,1,9.718658,1.7787905
2020,2,11.48642,1.6902922
2020,3,10.558258,3.9085374
2020,4,13.801849,3.5079963
2020,5,16.630127,1.9065887
2020,6,17.002533,3.6025941
2020,7,19.709808,0.6629943
2020,8,20.411652,3.295895
2020,9,18.645844,3.2394438
2020,10,14.715118,7.00606
2020,11,13.634735,0.9101853
2020,12,10.066681,8.997317
2021,1,8.184479,4.8980646
2021,2,11.832916,4.256824
2021,3,10.800751,1.6412708
2021,4,11.836578,1.7455997
2021,5,13.684692,2.4936647
2021,6,17.161469,4.468533
2021,7,18.493835,2.0992222
2021,8,18.930023,1.1318238
2021,9,18.92691,5.30548
2021,10,15.530182,2.0004303
2021,11,10.7034,8.838277
2021,12,11.024078,6.8511815
2022,1,8.788239,2.398297
2022,2,9.8454895,1.3801588
2022,3,11.432159,4.497908
2022,4,11.724152,3.184125
2022,5,15.747345,1.1821717
2022,6,18.34967,2.9495366
2022,7,20.909607,0.43334672
2022,8,21.243927,2.245328
2022,9,18.78299,4.5593376
2022,10,18.798187,1.4579741
2022,11,13.437714,5.262762
2022,12,12.097931,2.9590619
2023,1,8.931854,8.004382
2023,2,8.819366,1.9554144
2023,3,12.282867,1.7757443
2023,4,12.956726,2.3658752
2023,5,15.151459,4.1664066
2023,6,19.685547,3.4549718
2023,7,19.91214,1.5411319
2023,8,20.403046,2.5329645
2023,9,20.614594,3.5739872
2023,10,18.256989,4.3792725
2023,11,13.619049,6.3312464
2023,12,10.84787,3.4603055
2024,1,10.437103,2.938458
2024,2,11.259491,4.4239097
2024,3,11.399261,3.5606399
2024,4,12.94223,2.4585693
2024,5,14.023346,3.2386904
2024,6,17.058258,3.0719757
2024,7,19.876953,1.252745
2024,8,20.790527,1.4507324
2024,9,17.290985,5.2936525
2024,10,16.624115,4.868705
2024,11,14.402985,3.100204
2024,12,10.57785,4.423147
